Day,Month,Year,Season,Average,Precipitation,New Snow,Snow Depth,Daylight
88,3,2002,1,-2,0,0,11,803
89,3,2002,1,-4,0,0,11,810
90,3,2002,1,-1.5,0,0,11,817
91,4,2002,1,7.5,0,0,11,823
92,4,2002,1,10.5,0,0,11,830
93,4,2002,1,11,0,0,11,837
94,4,2002,1,12.5,0,0,11,844
95,4,2002,1,13,0,0,11,851
96,4,2002,1,18,0,0,11,857
97,4,2002,1,20.5,0,0,11,864
98,4,2002,1,16.5,0,0,11,871
99,4,2002,1,21,T,T,10,878
100,4,2002,1,11.5,0,0,9,885
101,4,2002,1,6,0,0,9,891
102,4,2002,1,6,0,0,9,898
103,4,2002,1,17.5,0.05,0.6,9,905
104,4,2002,1,24,0.09,1.6,10,912
105,4,2002,1,25,0.01,0.2,11,919
106,4,2002,1,19,0,0,10,926
107,4,2002,1,33.5,0,0,9,933
108,4,2002,1,36.5,0,0,8,940
109,4,2002,1,30,0.1,1.3,9,946
110,4,2002,1,31.5,0.23,0.7,8,953
111,4,2002,1,30,0.18,4.3,9,960
112,4,2002,1,21,T,0.3,9,967
113,4,2002,1,18,0,0,8,974
114,4,2002,1,24,0,0,8,981
115,4,2002,1,29.5,0.2,2,8,989
116,4,2002,1,39.5,0.92,4.4,8,995
117,4,2002,1,37,0.3,0,8,1002
118,4,2002,1,37.5,0.4,0,6,1009
119,4,2002,1,43,0.44,0,4,1016
120,4,2002,1,46.5,0.14,0,3,1023
121,5,2002,1,37,0.05,T,T,1030
122,5,2002,1,32,0.05,1.8,0,1037
123,5,2002,1,31,0,0,0,1044
124,5,2002,1,30.5,0,0,0,1051
125,5,2002,1,40,0,0,0,1058
126,5,2002,1,37,0.06,0,0,1065
127,5,2002,1,39,T,0,0,1072
128,5,2002,1,45.5,0.02,0,0,1079
129,5,2002,1,42,0.2,0,0,1086
130,5,2002,1,41,T,0,0,1093
131,5,2002,1,41,0,0,0,1100
132,5,2002,1,44,0,0,0,1107
133,5,2002,1,46.5,0,0,0,1114
134,5,2002,1,51,0,0,0,1121
135,5,2002,1,54.5,T,0,0,1128
136,5,2002,2,51.5,T,0,0,1135
137,5,2002,2,51.5,0,0,0,1142
138,5,2002,2,55,0,0,0,1149
139,5,2002,2,59.5,0,0,0,1156
140,5,2002,2,64.5,0,0,0,1163
141,5,2002,2,67.5,0,0,0,1170
142,5,2002,2,66.5,0,0,0,1176
143,5,2002,2,65,0,0,0,1183
144,5,2002,2,63,0,0,0,1190
145,5,2002,2,65.5,0,0,0,1197
146,5,2002,2,66.5,0,0,0,1203
147,5,2002,2,54,0,0,0,1210
148,5,2002,2,49.5,0,0,0,1216
149,5,2002,2,58,0,0,0,1223
150,5,2002,2,57,T,0,0,1229
151,5,2002,2,56.5,T,0,0,1235
152,6,2002,2,59,0.02,0,0,1241
153,6,2002,2,54,0.02,0,0,1247
154,6,2002,2,54,0.01,0,0,1253
155,6,2002,2,57,0,0,0,1258
156,6,2002,2,59,T,0,0,1264
157,6,2002,2,61,0,0,0,1269
158,6,2002,2,62.5,T,0,0,1274
159,6,2002,2,59,0.01,0,0,1279
160,6,2002,2,57.5,0,0,0,1284
161,6,2002,2,56,0.02,0,0,1288
162,6,2002,2,51.5,0.1,0,0,1292
163,6,2002,2,56.5,0.08,0,0,1296
164,6,2002,2,59,0.01,0,0,1299
165,6,2002,2,58,0.01,0,0,1302
166,6,2002,2,60.5,0,0,0,1304
167,6,2002,2,64.5,0,0,0,1306
168,6,2002,2,63.5,0,0,0,1308
169,6,2002,2,56.5,0,0,0,1309
170,6,2002,2,56.5,0.24,0,0,1310
171,6,2002,2,51.5,0.01,0,0,1310
172,6,2002,2,49,T,0,0,1309
173,6,2002,2,52.5,0,0,0,1308
174,6,2002,2,59,0.01,0,0,1307
175,6,2002,2,63,0.01,0,0,1305
176,6,2002,2,61.5,0.23,0,0,1302
177,6,2002,2,62,0,0,0,1300
178,6,2002,2,62,0,0,0,1297
179,6,2002,2,61,T,0,0,1293
180,6,2002,2,59.5,0,0,0,1289
181,6,2002,2,59.5,0,0,0,1285
182,7,2002,2,59.5,0.02,0,0,1281
183,7,2002,2,54,0.67,0,0,1276
184,7,2002,2,53.5,0.4,0,0,1271
185,7,2002,2,49,0,0,0,1266
186,7,2002,2,47,0.67,0,0,1260
187,7,2002,2,60.5,0.01,0,0,1255
188,7,2002,2,60,T,0,0,1249
189,7,2002,2,61.5,0,0,0,1243
190,7,2002,2,63,T,0,0,1237
191,7,2002,2,62,0,0,0,1231
192,7,2002,2,64.5,0,0,0,1225
193,7,2002,2,61.5,T,0,0,1218
194,7,2002,2,63.5,0.03,0,0,1212
195,7,2002,2,62.5,T,0,0,1206
196,7,2002,2,66.5,T,0,0,1199
197,7,2002,2,67,T,0,0,1192
198,7,2002,2,68.5,T,0,0,1186
199,7,2002,2,69.5,0.01,0,0,1179
200,7,2002,2,67,0,0,0,1172
201,7,2002,2,64.5,T,0,0,1165
202,7,2002,2,66.5,0,0,0,1159
203,7,2002,2,67.5,T,0,0,1152
204,7,2002,2,71.5,T,0,0,1145
205,7,2002,2,66.5,T,0,0,1138
206,7,2002,2,60,0.38,0,0,1131
207,7,2002,2,57,0.17,0,0,1124
208,7,2002,2,54,0.22,0,0,1117
209,7,2002,2,59,0.05,0,0,1110
210,7,2002,2,62,0,0,0,1103
211,7,2002,2,61,0,0,0,1097
212,7,2002,2,65.5,0,0,0,1090
213,8,2002,2,64,0,0,0,1083
214,8,2002,2,66,0,0,0,1076
215,8,2002,2,68.5,0,0,0,1069
216,8,2002,2,67,0,0,0,1062
217,8,2002,2,63.5,0,0,0,1055
218,8,2002,2,61.5,0,0,0,1048
219,8,2002,2,57.5,0.18,0,0,1041
220,8,2002,2,54,0.26,0,0,1034
221,8,2002,2,53.5,0.14,T,0,1027
222,8,2002,2,52.5,0.04,0,0,1020
223,8,2002,2,56.5,T,0,0,1013
224,8,2002,2,53,0.04,0,0,1006
225,8,2002,2,48.5,T,0,0,999
226,8,2002,2,51.5,0,0,0,993
227,8,2002,2,50.5,0.13,0,0,986
228,8,2002,2,51,0.82,0,0,979
229,8,2002,2,49.5,0.29,0,0,972
230,8,2002,2,50,0.38,0,0,965
231,8,2002,2,49.5,T,0,0,958
232,8,2002,2,49,0,0,0,951
233,8,2002,2,48,0.29,0,0,945
234,8,2002,2,48,0.13,0,0,938
235,8,2002,2,49,0.07,0,0,931
236,8,2002,2,52,0.09,0,0,924
237,8,2002,2,53.5,0.04,0,0,917
238,8,2002,2,53,T,0,0,911
239,8,2002,2,57,0,0,0,904
240,8,2002,2,53,0.02,0,0,897
241,8,2002,2,52,0.06,0,0,890
242,8,2002,2,55,T,0,0,884
243,8,2002,2,54,0.04,0,0,877
244,9,2002,2,54,0.01,0,0,870
245,9,2002,2,51,0,0,0,863
246,9,2002,2,48.5,0,0,0,857
247,9,2002,2,53,0.13,0,0,850
248,9,2002,2,59,0.01,0,0,843
249,9,2002,2,52,0.26,0,0,837
250,9,2002,2,50.5,T,0,0,830
251,9,2002,3,48.5,T,0,0,823
252,9,2002,3,43,0.01,0,0,817
253,9,2002,3,39.5,0,0,0,810
254,9,2002,3,43,T,0,0,803
255,9,2002,3,50.5,0,0,0,797
256,9,2002,3,50,0,0,0,790
257,9,2002,3,54.5,0,0,0,783
258,9,2002,3,49.5,0,0,0,777
259,9,2002,3,46,0,0,0,770
260,9,2002,3,49,T,0,0,763
261,9,2002,3,49,0.02,0,0,757
262,9,2002,3,40,0.01,T,0,750
263,9,2002,3,37,T,T,0,744
264,9,2002,3,41,0,0,0,737
265,9,2002,3,44,0,0,0,730
266,9,2002,3,46.5,0,0,0,724
267,9,2002,3,44,T,0,0,717
268,9,2002,3,52,0.03,0,0,710
269,9,2002,3,50,0.31,0,0,704
270,9,2002,3,44.5,0.12,0,0,697
271,9,2002,3,41.5,0.08,0,0,691
272,9,2002,3,45.5,0.02,0,0,684
273,9,2002,3,44,0.08,0,0,677
274,10,2002,3,44,0.02,0,0,671
275,10,2002,3,40.5,0.02,0,0,664
276,10,2002,3,36,0,0,0,657
277,10,2002,3,34,T,T,0,651
278,10,2002,3,32.5,0,0,0,644
279,10,2002,3,33.5,T,T,0,637
280,10,2002,3,37.5,0.1,0,0,631
281,10,2002,3,34.5,0.17,3.3,0,624
282,10,2002,3,32.5,0.12,1.7,3,617
283,10,2002,3,31,0,0,3,611
284,10,2002,3,33,T,0,2,604
285,10,2002,3,30,T,T,1,597
286,10,2002,3,35,0,0,1,591
287,10,2002,3,31.5,0.02,0.2,1,584
288,10,2002,3,31.5,0.02,0.4,1,577
289,10,2002,3,24.5,0.26,4.1,2,571
290,10,2002,3,22.5,0.02,0.7,4,564
291,10,2002,3,22.5,0.06,0.9,4,557
292,10,2002,3,21.5,0.24,3.4,5,550
293,10,2002,3,22,T,0,7,544
294,10,2002,3,27.5,0,0,5,537
295,10,2002,3,31.5,0,0,5,530
296,10,2002,3,32.5,0,0,5,523
297,10,2002,3,32.5,0,0,5,517
298,10,2002,3,36,0,0,5,510
299,10,2002,3,34,0,0,4,503
300,10,2002,3,30,T,T,4,496
301,10,2002,3,31,T,0,4,490
302,10,2002,3,36.5,0,0,4,483
303,10,2002,3,33,0,0,3,476
304,10,2002,3,29,T,0,3,470
305,11,2002,3,25.5,0,0,3,463
306,11,2002,3,26.5,0,0,3,456
307,11,2002,3,28.5,T,T,3,449
308,11,2002,3,31.5,0,0,3,443
309,11,2002,3,32,0,0,3,436
310,11,2002,3,29,T,T,3,429
311,11,2002,3,28,0,0,3,423
312,11,2002,3,19,0,0,3,416
313,11,2002,0,10.5,T,T,3,409
314,11,2002,0,8.5,T,T,3,403
315,11,2002,0,5.5,0,0,3,396
316,11,2002,0,13.5,0,0,3,389
317,11,2002,0,8.5,T,T,3,383
318,11,2002,0,9.5,T,T,3,376
319,11,2002,0,12.5,0.02,1.6,5,370
320,11,2002,0,6.5,T,T,5,363
321,11,2002,0,5,0,0,5,357
322,11,2002,0,12,0,0,5,351
323,11,2002,0,13,0,0,5,344
324,11,2002,0,11,0,0,4,338
325,11,2002,0,8,0,0,4,332
326,11,2002,0,19.5,0,0,4,326
327,11,2002,0,28,0,0,4,320
328,11,2002,0,25.5,0,0,4,314
329,11,2002,0,20.5,0,0,4,308
330,11,2002,0,29,0.03,0,4,302
331,11,2002,0,25,T,T,3,297
332,11,2002,0,18,0,0,3,291
333,11,2002,0,31.5,0,0,3,286
334,11,2002,0,34.5,T,0,3,281
335,12,2002,0,28,0,0,3,275
336,12,2002,0,18.5,0,0,3,270
337,12,2002,0,22.5,0,0,3,266
338,12,2002,0,23,0,0,3,261
339,12,2002,0,22.5,0,0,3,257
340,12,2002,0,20,0,0,3,252
341,12,2002,0,16,0,0,3,248
342,12,2002,0,12,0,0,3,245
343,12,2002,0,9,0,0,3,241
344,12,2002,0,6,0,0,3,238
345,12,2002,0,0,0,0,3,235
346,12,2002,0,9,0.04,0.8,3,232
347,12,2002,0,6.5,0.01,0.1,4,229
348,12,2002,0,7,0.02,0.6,4,229
349,12,2002,0,9.5,T,0.1,4,225
350,12,2002,0,8,T,T,4,224
351,12,2002,0,7.5,0.03,1.6,4,223
352,12,2002,0,2,0.04,1,6,222
353,12,2002,0,4.5,0,0,8,221
354,12,2002,0,-4,0,0,6,221
355,12,2002,0,-11.5,0,0,6,221
356,12,2002,0,-1.5,0,0,6,221
357,12,2002,0,5,0,0,6,222
358,12,2002,0,-1,T,T,5,223
359,12,2002,0,3.5,0.17,2.1,5,224
360,12,2002,0,7.5,0.03,1.7,7,225
361,12,2002,0,0.5,0.05,1,8,227
362,12,2002,0,-15.5,T,T,8,229
363,12,2002,0,-20.5,0,0,8,231
364,12,2002,0,-25.5,0,0,8,234
365,12,2002,0,-18,0.02,0.6,8,237
1,1,2003,0,-24,T,T,8,241
2,1,2003,0,-24.5,0,0,8,245
3,1,2003,0,-6,0,0,8,248
4,1,2003,0,16,0.15,4.3,8,252
5,1,2003,0,5.5,0.02,0.6,12,261
6,1,2003,0,-12.5,0.04,0.4,12,266
7,1,2003,0,-30,0,0,11,271
8,1,2003,0,-20.5,0,0,11,275
9,1,2003,0,0.5,0,0,11,281
10,1,2003,0,2.5,0,0,11,286
11,1,2003,0,-4,0,0,10,291
12,1,2003,0,-5,0,0,10,297
13,1,2003,0,6.5,0.03,0.5,10,303
14,1,2003,0,-2,0,0,10,308
15,1,2003,0,-4,0,0,10,314
16,1,2003,0,-11.5,0,0,10,320
17,1,2003,0,3,0,0,10,326
18,1,2003,0,21.5,0.02,0.4,9,332
19,1,2003,0,17,0,0,9,339
20,1,2003,0,15,T,0.1,9,345
21,1,2003,0,14,0,0,9,351
22,1,2003,0,1.5,0,0,9,358
23,1,2003,0,-13,0,0,9,364
24,1,2003,0,-13.5,0,0,9,371
25,1,2003,0,-11.5,0,0,9,377
26,1,2003,0,-14,0,0,9,384
27,1,2003,0,-10,0,0,9,390
28,1,2003,0,-3.5,0,0,9,397
29,1,2003,0,0,0,0,9,404
30,1,2003,0,1,T,T,9,410
31,1,2003,0,4,0.02,0.6,9,417
32,2,2003,0,-0.5,0,0,9,424
33,2,2003,0,-3,0,0,9,431
34,2,2003,0,6.5,0,0,9,437
35,2,2003,0,29,T,0,9,444
36,2,2003,0,27.5,0,0,9,451
37,2,2003,0,22.5,0,0,9,458
38,2,2003,0,20.5,0,0,9,465
39,2,2003,0,28.5,0.15,0,9,471
40,2,2003,0,30.5,T,0,9,478
41,2,2003,0,33.5,0.14,T,9,485
42,2,2003,0,28,0.16,1.6,8,492
43,2,2003,0,16,0.25,3,9,499
44,2,2003,0,9,0.09,1.5,13,506
45,2,2003,0,-1,T,T,13,512
46,2,2003,0,-8,0,0,13,519
47,2,2003,0,-8,0,0,13,526
48,2,2003,0,-6.5,0,0,13,533
49,2,2003,0,-5.5,0,0,13,540
50,2,2003,0,-3.5,0,0,13,546
51,2,2003,0,-7,0,0,12,553
52,2,2003,0,-4,0,0,12,560
53,2,2003,0,6,T,T,12,567
54,2,2003,0,15.5,0,0,12,574
55,2,2003,0,22,T,0.2,12,580
56,2,2003,0,14.5,0.1,1.5,13,587
57,2,2003,0,15,0,0,13,594
58,2,2003,0,14,T,T,13,601
59,2,2003,0,17,0,0,13,608
60,3,2003,0,20.5,T,T,13,614
61,3,2003,0,32.5,0.01,T,13,621
62,3,2003,0,32.5,T,T,12,628
63,3,2003,0,24.5,0.01,0.2,12,635
64,3,2003,0,8,T,0.1,12,641
65,3,2003,0,4.5,0,0,12,648
66,3,2003,0,10.5,0,0,12,655
67,3,2003,0,11,0,0,12,662
68,3,2003,0,5.5,0,0,12,668
69,3,2003,0,1.5,0,0,12,675
70,3,2003,0,-1.5,0,0,12,682
71,3,2003,0,-10,0,0,12,689
72,3,2003,0,-6,0,0,12,695
73,3,2003,0,-7,0,0,12,702
74,3,2003,0,3,0,0,12,709
75,3,2003,1,4.5,T,T,12,716
76,3,2003,1,9,0,0,12,722
77,3,2003,1,11.5,0,0,12,729
78,3,2003,1,12,0,0,12,736
79,3,2003,1,12.5,0,0,12,742
80,3,2003,1,6.5,0,0,12,749
81,3,2003,1,5,T,T,12,756
82,3,2003,1,11.5,T,T,12,763
83,3,2003,1,10,0,0,12,769
84,3,2003,1,13,0,0,12,776
85,3,2003,1,10,T,0.4,12,783
86,3,2003,1,3,0,0,12,790
87,3,2003,1,5.5,0,0,12,796
88,3,2003,1,12,T,T,12,803
89,3,2003,1,6.5,T,T,12,810
90,3,2003,1,3,T,0.1,12,817
91,4,2003,1,1,0,0,12,823
92,4,2003,1,5.5,0,0,12,830
93,4,2003,1,11,0,0,12,837
94,4,2003,1,14,0,0,12,844
95,4,2003,1,17,0,0,12,851
96,4,2003,1,20,0,0,12,857
97,4,2003,1,15.5,0,0,12,864
98,4,2003,1,19.5,0,0,12,871
99,4,2003,1,27.5,0,0,12,878
100,4,2003,1,34.5,0,0,12,885
101,4,2003,1,37,0,0,10,891
102,4,2003,1,39,0,0,8,898
103,4,2003,1,38,T,0,7,905
104,4,2003,1,34.5,0.01,T,5,912
105,4,2003,1,36,T,0,4,919
106,4,2003,1,37,T,0,3,926
107,4,2003,1,40,0.04,T,3,933
108,4,2003,1,41,0,0,1,940
109,4,2003,1,38.5,0,0,T,946
110,4,2003,1,39.5,0,0,T,953
111,4,2003,1,42,0,0,T,960
112,4,2003,1,45,0,0,T,967
113,4,2003,1,47,0,0,0,974
114,4,2003,1,48,0,0,0,981
115,4,2003,1,46.5,0,0,0,989
116,4,2003,1,50.5,0,0,0,995
117,4,2003,1,50.5,0,0,0,1002
118,4,2003,1,40,T,0,0,1009
119,4,2003,1,39.5,0,0,0,1016
120,4,2003,1,38.5,0,0,0,1023
121,5,2003,1,44,0,0,0,1030
122,5,2003,1,43.5,0,0,0,1037
123,5,2003,1,40,0,0,0,1044
124,5,2003,1,41,0,0,0,1051
125,5,2003,1,44.5,0,0,0,1058
126,5,2003,1,43,0,0,0,1065
127,5,2003,1,45.5,0,0,0,1072
128,5,2003,1,46.5,0,0,0,1079
129,5,2003,1,50.5,0,0,0,1086
130,5,2003,1,48,T,0,0,1093
131,5,2003,1,44,T,0,0,1100
132,5,2003,1,43.5,0.27,0,0,1107
133,5,2003,1,44.5,T,0,0,1114
134,5,2003,1,44.5,T,0,0,1121
135,5,2003,1,43,0,0,0,1128
136,5,2003,2,38,T,T,0,1135
137,5,2003,2,42,0,0,0,1142
138,5,2003,2,47,0,0,0,1149
139,5,2003,2,48,0,0,0,1156
140,5,2003,2,50,T,0,0,1163
141,5,2003,2,44.5,0,0,0,1170
142,5,2003,2,46,0,0,0,1176
143,5,2003,2,44,0,0,0,1183
144,5,2003,2,46,0,0,0,1190
145,5,2003,2,51,0,0,0,1197
146,5,2003,2,53,0,0,0,1203
147,5,2003,2,51.5,0,0,0,1210
148,5,2003,2,59,0,0,0,1216
149,5,2003,2,58,0,0,0,1223
150,5,2003,2,58,0,0,0,1229
151,5,2003,2,61,0,0,0,1235
152,6,2003,2,51.5,0.05,0,0,1241
153,6,2003,2,51.5,T,0,0,1247
154,6,2003,2,54,0,0,0,1253
155,6,2003,2,58,0,0,0,1258
156,6,2003,2,61,T,0,0,1264
157,6,2003,2,56,0.46,0,0,1269
158,6,2003,2,50,0.07,0,0,1274
159,6,2003,2,56.5,T,0,0,1279
160,6,2003,2,60.5,T,0,0,1284
161,6,2003,2,65,0,0,0,1288
162,6,2003,2,65,0,0,0,1292
163,6,2003,2,60,0,0,0,1296
164,6,2003,2,56.5,0,0,0,1299
165,6,2003,2,60.5,0,0,0,1302
166,6,2003,2,60,0,0,0,1304
167,6,2003,2,62,0,0,0,1306
168,6,2003,2,62,0,0,0,1308
169,6,2003,2,61,T,0,0,1309
170,6,2003,2,62.5,0,0,0,1310
171,6,2003,2,64,0,0,0,1310
172,6,2003,2,63.5,0,0,0,1309
173,6,2003,2,65,T,0,0,1308
174,6,2003,2,64,T,0,0,1307
175,6,2003,2,61.5,T,0,0,1305
176,6,2003,2,61,T,0,0,1302
177,6,2003,2,58,T,0,0,1300
178,6,2003,2,61.5,0,0,0,1297
179,6,2003,2,62,0.03,0,0,1293
180,6,2003,2,64.5,T,0,0,1289
181,6,2003,2,68,T,0,0,1285
182,7,2003,2,68,0.01,0,0,1281
183,7,2003,2,57.5,0.15,0,0,1276
184,7,2003,2,56,0.12,0,0,1271
185,7,2003,2,61,0.01,0,0,1266
186,7,2003,2,66,T,0,0,1260
187,7,2003,2,66,0.04,0,0,1255
188,7,2003,2,60.5,T,0,0,1249
189,7,2003,2,65.5,0,0,0,1243
190,7,2003,2,70.5,T,0,0,1237
191,7,2003,2,64.5,0.28,0,0,1231
192,7,2003,2,68,0,0,0,1225
193,7,2003,2,66.5,0.08,0,0,1218
194,7,2003,2,61,0.13,0,0,1212
195,7,2003,2,66,0.12,0,0,1206
196,7,2003,2,51.5,0.66,0,0,1199
197,7,2003,2,46,0.25,0,0,1192
198,7,2003,2,50,0.01,0,0,1186
199,7,2003,2,58,0,0,0,1179
200,7,2003,2,62,0,0,0,1172
201,7,2003,2,71,0,0,0,1165
202,7,2003,2,66.5,T,0,0,1159
203,7,2003,2,64,0,0,0,1152
204,7,2003,2,65.5,0,0,0,1145
205,7,2003,2,64.5,T,0,0,1138
206,7,2003,2,62.5,T,0,0,1131
207,7,2003,2,56.5,1.16,0,0,1124
208,7,2003,2,50,2.27,0,0,1117
209,7,2003,2,55.5,0.08,0,0,1110
210,7,2003,2,56.5,0.15,0,0,1103
211,7,2003,2,52.5,0.4,0,0,1097
212,7,2003,2,51,0.04,0,0,1090
213,8,2003,2,50.5,0.01,0,0,1083
214,8,2003,2,51.5,0.05,0,0,1076
215,8,2003,2,50.5,0.3,0,0,1069
216,8,2003,2,54.5,0.01,0,0,1062
217,8,2003,2,49.5,0.1,0,0,1055
218,8,2003,2,59,0,0,0,1048
219,8,2003,2,58.5,0,0,0,1041
220,8,2003,2,60,T,0,0,1034
221,8,2003,2,58.5,0,0,0,1027
222,8,2003,2,62,0,0,0,1020
223,8,2003,2,63,0.03,0,0,1013
224,8,2003,2,64.5,0.07,0,0,1006
225,8,2003,2,60.5,0.01,0,0,999
226,8,2003,2,62.5,T,0,0,993
227,8,2003,2,65.5,0.01,0,0,986
228,8,2003,2,59.5,0.01,0,0,979
229,8,2003,2,50.5,0.03,0,0,972
230,8,2003,2,52,0,0,0,965
231,8,2003,2,53.5,T,0,0,958
232,8,2003,2,56,0,0,0,951
233,8,2003,2,54,T,0,0,945
234,8,2003,2,49.5,0.03,0,0,938
235,8,2003,2,46.5,0.5,0,0,931
236,8,2003,2,53,0.28,0,0,924
237,8,2003,2,56,0.01,0,0,917
238,8,2003,2,56,T,0,0,911
239,8,2003,2,56.5,0,0,0,904
240,8,2003,2,57.5,0,0,0,897
241,8,2003,2,56.5,0,0,0,890
242,8,2003,2,59,0.18,0,0,884
243,8,2003,2,55,0.26,0,0,877
244,9,2003,2,52,0.37,0,0,870
245,9,2003,2,51,0.17,0,0,863
246,9,2003,2,46.5,0.05,0,0,857
247,9,2003,2,47,0.04,0,0,850
248,9,2003,2,47.5,0,0,0,843
249,9,2003,2,46,0.02,0,0,837
250,9,2003,2,43.5,0,0,0,830
251,9,2003,3,49,T,0,0,823
252,9,2003,3,48,0,0,0,817
253,9,2003,3,48,0,0,0,810
254,9,2003,3,44.5,0.59,0,0,803
255,9,2003,3,40,T,0,0,797
256,9,2003,3,37.5,0,0,0,790
257,9,2003,3,37.5,0,0,0,783
258,9,2003,3,34.5,0,0,0,777
259,9,2003,3,38,0,0,0,770
260,9,2003,3,36.5,0,0,0,763
261,9,2003,3,33,0,0,0,757
262,9,2003,3,33,0,0,0,750
263,9,2003,3,36,0,0,0,744
264,9,2003,3,36.5,0,0,0,737
265,9,2003,3,35,0,0,0,730
266,9,2003,3,34.5,0,0,0,724
267,9,2003,3,37,0,0,0,717
268,9,2003,3,36,0.01,0.1,0,710
269,9,2003,3,34.5,0,0,0,704
270,9,2003,3,39.5,0,0,0,697
271,9,2003,3,41.5,0.01,0,0,691
272,9,2003,3,52.5,0.01,0,0,684
273,9,2003,3,58,T,0,0,677
274,10,2003,3,57.5,0,0,0,671
275,10,2003,3,56.5,T,0,0,664
276,10,2003,3,52,0.06,0,0,657
277,10,2003,3,47,0.01,0,0,651
278,10,2003,3,47,T,0,0,644
279,10,2003,3,51.5,T,0,0,637
280,10,2003,3,46.5,0,0,0,631
281,10,2003,3,38,0,0,0,624
282,10,2003,3,35,0.02,0,0,617
283,10,2003,3,38,T,0,0,611
284,10,2003,3,31.5,0.01,T,0,604
285,10,2003,3,31,T,T,0,597
286,10,2003,3,30,0.02,T,0,591
287,10,2003,3,31,0,0,0,584
288,10,2003,3,35.5,0,0,0,577
289,10,2003,3,32.5,0,0,0,571
290,10,2003,3,23.5,0,0,0,564
291,10,2003,3,21.5,T,0,0,557
292,10,2003,3,20,0,0,0,550
293,10,2003,3,23.5,T,0,0,544
